year,make,model,price,mileage,price_per_mile
0,2017,Chevrolet,Impala,16665,10805,0.088
1,2020,Chevrolet,Impala,26831,13142,0.144
2,2017,Chevrolet,Impala,21595,16500,0.118
3,2016,Chevrolet,Impala,25995,20305,0.145
4,2017,Chevrolet,Impala,16995,21560,0.095
5,2017,Chevrolet,Impala,16495,21667,0.092
6,2019,Chevrolet,Impala,20885,22736,0.118
7,2016,Honda,Accord,18000,23295,0.102
8,2019,Chevrolet,Impala,19391,23559,0.11
9,2018,Chevrolet,Impala,20600,26787,0.119
10,2019,Chevrolet,Impala,20999,27364,0.122
11,2016,Chevrolet,Impala,21675,27591,0.126
12,2019,Chevrolet,Impala,17975,29599,0.105
13,2019,Chevrolet,Impala,18553,29629,0.109
14,2018,Chevrolet,Impala,17999,30460,0.106
15,2019,Chevrolet,Impala,17500,30521,0.103
16,2019,Chevrolet,Impala,17537,31962,0.104
17,2017,Chevrolet,Impala,19990,31975,0.119
18,2019,Chevrolet,Impala,22133,32355,0.132
19,2018,Chevrolet,Impala,17084,32825,0.102
20,2017,Honda,Accord,17885,33106,0.107
21,2018,Chevrolet,Impala,20425,33390,0.123
22,2018,Chevrolet,Impala,20799,33843,0.125
23,2018,Chevrolet,Impala,20525,33901,0.124
24,2019,Chevrolet,Impala,21646,34019,0.13
25,2019,Chevrolet,Impala,19400,34363,0.117
26,2019,Chevrolet,Impala,18291,34433,0.11
27,2019,Chevrolet,Impala,17385,35743,0.106
28,2017,Chevrolet,Impala,17800,36852,0.109
29,2019,Chevrolet,Impala,17495,37009,0.107
30,2018,Chevrolet,Impala,17511,37036,0.107
31,2016,Toyota,Camry,15480,37182,0.095
32,2018,Chevrolet,Impala,19692,39416,0.123
33,2018,Chevrolet,Impala,16999,39788,0.106
34,2019,Chevrolet,Impala,19978,40578,0.125
35,2018,Toyota,Camry,24480,41927,0.155
36,2019,Chevrolet,Impala,19900,42575,0.126
37,2015,Chevrolet,Impala,18900,43305,0.121
38,2015,Toyota,Camry,18999,43848,0.122
39,2017,Honda,Accord,18609,48135,0.123
40,2018,Chevrolet,Impala,15897,48220,0.105
41,2016,Toyota,Camry,17995,51754,0.121
42,2016,Chevrolet,Impala,14500,57033,0.101
43,2017,Chevrolet,Impala,15920,57277,0.112
44,2017,Honda,Accord,18793,60113,0.134
45,2015,Chevrolet,Impala,13799,70257,0.106
46,2016,Chevrolet,Impala,15726,74087,0.125
47,2018,Toyota,Camry,26994,358,0.135
48,2020,Chevrolet,Impala,28261,2647,0.143
49,2020,Toyota,Camry,33390,2924,0.169
50,2019,Chevrolet,Impala,29990,4454,0.153
51,2020,Chevrolet,Impala,27499,4585,0.141
52,2019,Toyota,Camry,32950,4782,0.169
53,2017,Chevrolet,Impala,26000,6643,0.134
54,2019,Chevrolet,Impala,26990,6906,0.14
55,2018,Toyota,Camry,26883,7097,0.139
56,2017,Honda,Accord,20406,7941,0.106
57,2019,Chevrolet,Impala,27777,9364,0.146
58,2017,Toyota,Camry,21400,10125,0.113
59,2019,Chevrolet,Impala,26990,10335,0.142
60,2020,Chevrolet,Impala,27492,10538,0.145
61,2017,Honda,Accord,22218,10553,0.117
62,2020,Chevrolet,Impala,26992,10777,0.143
63,2020,Chevrolet,Impala,27988,10811,0.148
64,2015,Toyota,Camry,19500,11321,0.103
65,2020,Chevrolet,Impala,28000,11411,0.148
66,2019,Chevrolet,Impala,26995,12127,0.144
